  0.4143E-01  0.3050E-01  0.3175E-01  0.3306E-01  0.3444E-01  0.3588E-01
  0.3738E-01  0.3896E-01  0.4061E-01  0.4233E-01  0.4414E-01  0.4604E-01
  0.4802E-01  0.5010E-01  0.5228E-01  0.5457E-01  0.5697E-01  0.5948E-01
  0.6211E-01  0.6487E-01  0.6777E-01  0.7080E-01  0.7399E-01  0.7733E-01
  0.8083E-01  0.8451E-01  0.8837E-01  0.9241E-01  0.9666E-01  0.1011E+00
  0.1058E+00  0.1107E+00  0.1159E+00  0.1213E+00  0.1270E+00  0.1330E+00
  0.1393E+00  0.1459E+00  0.1529E+00  0.1602E+00  0.1680E+00  0.1762E+00
  0.1848E+00  0.1939E+00  0.2036E+00  0.2139E+00  0.2248E+00  0.2364E+00
  0.2488E+00  0.2621E+00  0.2764E+00  0.2917E+00  0.3083E+00  0.3264E+00
  0.3460E+00  0.3676E+00  0.3914E+00  0.4178E+00  0.4474E+00  0.4808E+00
  0.5189E+00  0.5627E+00  0.6131E+00  0.6676E+00  0.7169E+00  0.7460E+00
  0.7428E+00  0.7028E+00  0.6285E+00  0.4971E+00  0.6273E-01  0.4143E-01
  0.4276E-01  0.4415E-01  0.4561E-01  0.4714E-01  0.4874E-01  0.5042E-01
  0.5217E-01  0.5402E-01  0.5595E-01  0.5797E-01  0.6009E-01  0.6231E-01
  0.6463E-01  0.6707E-01  0.6962E-01  0.7230E-01  0.7511E-01  0.7805E-01
  0.8113E-01  0.8436E-01  0.8774E-01  0.9129E-01  0.9501E-01  0.9891E-01
  0.1030E+00  0.1073E+00  0.1118E+00  0.1165E+00  0.1215E+00  0.1266E+00
  0.1321E+00  0.1378E+00  0.1438E+00  0.1501E+00  0.1567E+00  0.1637E+00
  0.1710E+00  0.1788E+00  0.1869E+00  0.1954E+00  0.2045E+00  0.2140E+00
  0.2241E+00  0.2348E+00  0.2462E+00  0.2583E+00  0.2712E+00  0.2850E+00
  0.2997E+00  0.3156E+00  0.3328E+00  0.3513E+00  0.3715E+00  0.3936E+00
  0.4179E+00  0.4448E+00  0.4747E+00  0.5084E+00  0.5465E+00  0.5899E+00
  0.6391E+00  0.6917E+00  0.7403E+00  0.7733E+00  0.7819E+00  0.7625E+00
  0.7160E+00  0.6347E+00  0.4968E+00  0.2952E+00  0.4143E-01  0.4311E-01
  0.4496E-01  0.4691E-01  0.4892E-01  0.5100E-01  0.5314E-01  0.5536E-01
  0.5765E-01  0.6003E-01  0.6249E-01  0.6506E-01  0.6772E-01  0.7049E-01
  0.7338E-01  0.7639E-01  0.7952E-01  0.8279E-01  0.8621E-01  0.8978E-01
  0.9350E-01  0.9740E-01  0.1015E+00  0.1057E+00  0.1102E+00  0.1148E+00
  0.1197E+00  0.1248E+00  0.1302E+00  0.1358E+00  0.1416E+00  0.1478E+00
  0.1542E+00  0.1610E+00  0.1681E+00  0.1755E+00  0.1833E+00  0.1915E+00
  0.2002E+00  0.2093E+00  0.2188E+00  0.2289E+00  0.2396E+00  0.2509E+00
  0.2628E+00  0.2755E+00  0.2889E+00  0.3033E+00  0.3186E+00  0.3350E+00
  0.3527E+00  0.3717E+00  0.3923E+00  0.4147E+00  0.4392E+00  0.4662E+00
  0.4960E+00  0.5291E+00  0.5664E+00  0.6083E+00  0.6552E+00  0.7053E+00
  0.7534E+00  0.7905E+00  0.8082E+00  0.8016E+00  0.7705E+00  0.7192E+00
  0.6353E+00  0.5015E+00  0.2178E+00  0.4143E-01  0.4313E-01  0.4492E-01
  0.4681E-01  0.4880E-01  0.5088E-01  0.5307E-01  0.5536E-01  0.5776E-01
  0.6026E-01  0.6288E-01  0.6561E-01  0.6846E-01  0.7143E-01  0.7454E-01
  0.7778E-01  0.8116E-01  0.8469E-01  0.8838E-01  0.9224E-01  0.9626E-01
  0.1005E+00  0.1049E+00  0.1095E+00  0.1143E+00  0.1193E+00  0.1246E+00
  0.1301E+00  0.1358E+00  0.1419E+00  0.1482E+00  0.1548E+00  0.1618E+00
  0.1691E+00  0.1767E+00  0.1847E+00  0.1931E+00  0.2020E+00  0.2113E+00
  0.2211E+00  0.2314E+00  0.2423E+00  0.2538E+00  0.2659E+00  0.2788E+00
  0.2924E+00  0.3069E+00  0.3224E+00  0.3389E+00  0.3565E+00  0.3755E+00
  0.3960E+00  0.4182E+00  0.4423E+00  0.4687E+00  0.4976E+00  0.5297E+00
  0.5653E+00  0.6051E+00  0.6494E+00  0.6974E+00  0.7456E+00  0.7874E+00
  0.8149E+00  0.8225E+00  0.8078E+00  0.7726E+00  0.7213E+00  0.6382E+00
  0.5041E+00  0.2040E+00  0.4143E-01  0.4313E-01  0.4491E-01  0.4677E-01
  0.4872E-01  0.5076E-01  0.5291E-01  0.5516E-01  0.5752E-01  0.6000E-01
  0.6260E-01  0.6533E-01  0.6819E-01  0.7119E-01  0.7433E-01  0.7762E-01
  0.8106E-01  0.8467E-01  0.8845E-01  0.9240E-01  0.9654E-01  0.1009E+00
  0.1054E+00  0.1102E+00  0.1151E+00  0.1203E+00  0.1258E+00  0.1315E+00
  0.1375E+00  0.1437E+00  0.1503E+00  0.1572E+00  0.1644E+00  0.1720E+00
  0.1799E+00  0.1882E+00  0.1970E+00  0.2062E+00  0.2158E+00  0.2260E+00
  0.2367E+00  0.2480E+00  0.2599E+00  0.2725E+00  0.2858E+00  0.3000E+00
  0.3150E+00  0.3311E+00  0.3482E+00  0.3665E+00  0.3862E+00  0.4075E+00
  0.4305E+00  0.4555E+00  0.4828E+00  0.5129E+00  0.5461E+00  0.5829E+00
  0.6240E+00  0.6693E+00  0.7174E+00  0.7638E+00  0.8019E+00  0.8247E+00
  0.8277E+00  0.8098E+00  0.7733E+00  0.7220E+00  0.6390E+00  0.5047E+00
  0.1670E+00  0.4143E-01  0.4313E-01  0.4491E-01  0.4677E-01  0.4871E-01
  0.5075E-01  0.5288E-01  0.5511E-01  0.5745E-01  0.5990E-01  0.6247E-01
  0.6517E-01  0.6800E-01  0.7097E-01  0.7408E-01  0.7735E-01  0.8078E-01
  0.8437E-01  0.8815E-01  0.9211E-01  0.9626E-01  0.1006E+00  0.1052E+00
  0.1100E+00  0.1150E+00  0.1203E+00  0.1258E+00  0.1316E+00  0.1377E+00
  0.1440E+00  0.1507E+00  0.1577E+00  0.1651E+00  0.1728E+00  0.1809E+00
  0.1894E+00  0.1983E+00  0.2077E+00  0.2176E+00  0.2280E+00  0.2390E+00
  0.2505E+00  0.2627E+00  0.2756E+00  0.2893E+00  0.3038E+00  0.3192E+00
  0.3356E+00  0.3531E+00  0.3718E+00  0.3919E+00  0.4136E+00  0.4371E+00
  0.4627E+00  0.4906E+00  0.5212E+00  0.5551E+00  0.5927E+00  0.6344E+00
  0.6802E+00  0.7280E+00  0.7732E+00  0.8091E+00  0.8294E+00  0.8300E+00
  0.8107E+00  0.7736E+00  0.7223E+00  0.6394E+00  0.5049E+00  0.1476E+00
  0.4143E-01  0.4313E-01  0.4491E-01  0.4677E-01  0.4871E-01  0.5075E-01
  0.5288E-01  0.5511E-01  0.5744E-01  0.5989E-01  0.6245E-01  0.6513E-01
  0.6795E-01  0.7090E-01  0.7399E-01  0.7724E-01  0.8064E-01  0.8421E-01
  0.8796E-01  0.9189E-01  0.9602E-01  0.1004E+00  0.1049E+00  0.1097E+00
  0.1147E+00  0.1199E+00  0.1255E+00  0.1313E+00  0.1374E+00  0.1437E+00
  0.1505E+00  0.1575E+00  0.1649E+00  0.1727E+00  0.1808E+00  0.1894E+00
  0.1985E+00  0.2080E+00  0.2180E+00  0.2285E+00  0.2396E+00  0.2513E+00
  0.2637E+00  0.2768E+00  0.2907E+00  0.3054E+00  0.3210E+00  0.3377E+00
  0.3555E+00  0.3746E+00  0.3951E+00  0.4171E+00  0.4410E+00  0.4670E+00
  0.4954E+00  0.5265E+00  0.5609E+00  0.5990E+00  0.6413E+00  0.6874E+00
