  0.3683E-01  0.2711E-01  0.2822E-01  0.2939E-01  0.3061E-01  0.3189E-01
  0.3323E-01  0.3463E-01  0.3609E-01  0.3763E-01  0.3924E-01  0.4092E-01
  0.4269E-01  0.4454E-01  0.4648E-01  0.4851E-01  0.5064E-01  0.5287E-01
  0.5521E-01  0.5766E-01  0.6024E-01  0.6294E-01  0.6577E-01  0.6874E-01
  0.7185E-01  0.7512E-01  0.7855E-01  0.8215E-01  0.8592E-01  0.8989E-01
  0.9405E-01  0.9842E-01  0.1030E+00  0.1078E+00  0.1129E+00  0.1182E+00
  0.1238E+00  0.1297E+00  0.1359E+00  0.1425E+00  0.1493E+00  0.1566E+00
  0.1643E+00  0.1724E+00  0.1810E+00  0.1902E+00  0.1999E+00  0.2102E+00
  0.2213E+00  0.2331E+00  0.2458E+00  0.2594E+00  0.2742E+00  0.2903E+00
  0.3078E+00  0.3270E+00  0.3482E+00  0.3718E+00  0.3982E+00  0.4280E+00
  0.4621E+00  0.5014E+00  0.5475E+00  0.6011E+00  0.6586E+00  0.7055E+00
  0.7225E+00  0.6973E+00  0.6288E+00  0.4986E+00  0.6056E-01  0.3683E-01
  0.3801E-01  0.3925E-01  0.4054E-01  0.4190E-01  0.4332E-01  0.4481E-01
  0.4638E-01  0.4801E-01  0.4973E-01  0.5153E-01  0.5341E-01  0.5538E-01
  0.5745E-01  0.5962E-01  0.6189E-01  0.6427E-01  0.6676E-01  0.6938E-01
  0.7212E-01  0.7499E-01  0.7800E-01  0.8115E-01  0.8446E-01  0.8793E-01
  0.9156E-01  0.9537E-01  0.9937E-01  0.1036E+00  0.1080E+00  0.1126E+00
  0.1174E+00  0.1225E+00  0.1278E+00  0.1335E+00  0.1393E+00  0.1455E+00
  0.1521E+00  0.1589E+00  0.1661E+00  0.1738E+00  0.1818E+00  0.1903E+00
  0.1993E+00  0.2088E+00  0.2189E+00  0.2297E+00  0.2411E+00  0.2534E+00
  0.2666E+00  0.2807E+00  0.2960E+00  0.3125E+00  0.3305E+00  0.3502E+00
  0.3718E+00  0.3958E+00  0.4225E+00  0.4525E+00  0.4866E+00  0.5257E+00
  0.5709E+00  0.6230E+00  0.6788E+00  0.7279E+00  0.7552E+00  0.7508E+00
